Item,Reference,Quantity,Value,Description,Package/Footprint,Manufacturer,MPN,DNP,Placement,Notes
28,C2,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U1 BGA
29,C3,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U1 BGA
30,C4,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U1 BGA
31,C5,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U2 BGA
32,C6,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U2 BGA
33,C7,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U2 BGA
34,C8,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U2 BGA
35,C9,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U5 VRM
36,C10,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U6 VRM
37,C11,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U7 VRM
38,C12,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U8 VRM
39,C13,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U3 TFLN
40,C14,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near U4 TFLN
41,C15,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near DDR5
42,C16,1,Bypass_Cap_Array,Decoupling capacitor array (10x 100nF + 2x 10uF),0402_Array,TDK,C1005X5R0J104K050BC,No,Top,Near DDR5
