Designator,Description,Manufacturer,MPN,Qty,Footprint
C69,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C70,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C71,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C72,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C73,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C74,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C75,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C76,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C77,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C78,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C79,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C80,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C81,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C82,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C83,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C84,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C85,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C86,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C87,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C88,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C89,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C90,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C91,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C92,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C93,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C94,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C95,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C96,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C97,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C98,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C99,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C100,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C101,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C102,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C103,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C104,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C105,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C106,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C107,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C108,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C109,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C110,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C111,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C112,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C113,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C114,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C115,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C116,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C117,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C118,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C119,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C120,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C121,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C122,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C123,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C124,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C125,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C126,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C127,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C128,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C129,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C130,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C131,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C132,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C133,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C134,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C135,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C136,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C137,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C138,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C139,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C140,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C141,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C142,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C143,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C144,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C145,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C146,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C147,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C148,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C149,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C150,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C151,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C152,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C153,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C154,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C155,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C156,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C157,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C158,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C159,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C160,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C161,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C162,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C163,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C164,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C165,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C166,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C167,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C168,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C169,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C170,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C171,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C172,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C173,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C174,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C175,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C176,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C177,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C178,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C179,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C180,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C181,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C182,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C183,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C184,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C185,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C186,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C187,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C188,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C189,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C190,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C191,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C192,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C193,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C194,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C195,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C196,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C197,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C198,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C199,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C200,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C201,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C202,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C203,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C204,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C205,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C206,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C207,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C208,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C209,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C210,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C211,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C212,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C213,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C214,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C215,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C216,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C217,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C218,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C219,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C220,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C221,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C222,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C223,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C224,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C225,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C226,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C227,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C228,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C229,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C230,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C231,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C232,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C233,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C234,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C235,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C236,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C237,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C238,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C239,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C240,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C241,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C242,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C243,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C244,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C245,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C246,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C247,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C248,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C249,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C250,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C251,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C252,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C253,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C254,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
