Designator,Mid X,Mid Y,Layer,Rotation,Comment
C145,91.0,14.4,Top,270,0603_0.1uF
C146,92.8,14.4,Top,180,0603_0.1uF
C147,94.6,14.4,Top,270,0603_0.1uF
C148,96.4,14.4,Top,270,0603_0.1uF
C149,98.2,14.4,Top,0,0603_0.1uF
C150,10.0,16.6,Top,90,0603_0.1uF
C151,11.8,16.6,Top,90,0603_0.1uF
C152,13.6,16.6,Top,0,0603_0.1uF
C153,15.4,16.6,Top,180,0603_0.1uF
C154,17.2,16.6,Top,0,0603_0.1uF
C155,19.0,16.6,Top,90,0603_0.1uF
C156,20.8,16.6,Top,90,0603_0.1uF
C157,22.6,16.6,Top,0,0603_0.1uF
C158,24.4,16.6,Top,0,0603_0.1uF
C159,26.2,16.6,Top,0,0603_0.1uF
C160,28.0,16.6,Top,90,0603_0.1uF
C161,29.8,16.6,Top,0,0603_0.1uF
C162,31.6,16.6,Top,0,0603_0.1uF
C163,33.4,16.6,Top,180,0603_0.1uF
C164,35.2,16.6,Top,0,0603_0.1uF
C165,37.0,16.6,Top,90,0603_0.1uF
C166,38.8,16.6,Top,180,0603_0.1uF
C167,40.6,16.6,Top,270,0603_0.1uF
C168,42.4,16.6,Top,90,0603_0.1uF
C169,44.2,16.6,Top,90,0603_0.1uF
C170,46.0,16.6,Top,270,0603_0.1uF
C171,47.8,16.6,Top,90,0603_0.1uF
C172,49.6,16.6,Top,270,0603_0.1uF
C173,51.4,16.6,Top,270,0603_0.1uF
C174,53.2,16.6,Top,90,0603_0.1uF
C175,55.0,16.6,Top,0,0603_0.1uF
C176,56.8,16.6,Top,0,0603_0.1uF
C177,58.6,16.6,Top,270,0603_0.1uF
C178,60.4,16.6,Top,180,0603_0.1uF
C179,62.2,16.6,Top,270,0603_0.1uF
C180,64.0,16.6,Top,270,0603_0.1uF
C181,65.8,16.6,Top,270,0603_0.1uF
C182,67.6,16.6,Top,0,0603_0.1uF
C183,69.4,16.6,Top,0,0603_0.1uF
C184,71.2,16.6,Top,0,0603_0.1uF
C185,73.0,16.6,Top,270,0603_0.1uF
C186,74.8,16.6,Top,180,0603_0.1uF
C187,76.6,16.6,Top,0,0603_0.1uF
C188,78.4,16.6,Top,90,0603_0.1uF
C189,80.2,16.6,Top,90,0603_0.1uF
C190,82.0,16.6,Top,90,0603_0.1uF
C191,83.8,16.6,Top,270,0603_0.1uF
C192,85.6,16.6,Top,90,0603_0.1uF
C193,87.4,16.6,Top,270,0603_0.1uF
C194,89.2,16.6,Top,90,0603_0.1uF
C195,91.0,16.6,Top,180,0603_0.1uF
C196,92.8,16.6,Top,270,0603_0.1uF
C197,94.6,16.6,Top,90,0603_0.1uF
C198,96.4,16.6,Top,0,0603_0.1uF
C199,98.2,16.6,Top,270,0603_0.1uF
C200,10.0,18.8,Top,0,0603_0.1uF
C201,11.8,18.8,Top,0,0603_0.1uF
C202,13.6,18.8,Top,0,0603_0.1uF
C203,15.4,18.8,Top,0,0603_0.1uF
C204,17.2,18.8,Top,90,0603_0.1uF
C205,19.0,18.8,Top,90,0603_0.1uF
C206,20.8,18.8,Top,270,0603_0.1uF
C207,22.6,18.8,Top,270,0603_0.1uF
C208,24.4,18.8,Top,270,0603_0.1uF
C209,26.2,18.8,Top,90,0603_0.1uF
C210,28.0,18.8,Top,270,0603_0.1uF
C211,29.8,18.8,Top,0,0603_0.1uF
C212,31.6,18.8,Top,90,0603_0.1uF
C213,33.4,18.8,Top,270,0603_0.1uF
C214,35.2,18.8,Top,0,0603_0.1uF
C215,37.0,18.8,Top,270,0603_0.1uF
C216,38.8,18.8,Top,180,0603_0.1uF
C217,40.6,18.8,Top,270,0603_0.1uF
C218,42.4,18.8,Top,180,0603_0.1uF
C219,44.2,18.8,Top,270,0603_0.1uF
C220,46.0,18.8,Top,270,0603_0.1uF
C221,47.8,18.8,Top,90,0603_0.1uF
C222,49.6,18.8,Top,90,0603_0.1uF
C223,51.4,18.8,Top,180,0603_0.1uF
C224,53.2,18.8,Top,90,0603_0.1uF
C225,55.0,18.8,Top,0,0603_0.1uF
C226,56.8,18.8,Top,0,0603_0.1uF
C227,58.6,18.8,Top,180,0603_0.1uF
C228,60.4,18.8,Top,0,0603_0.1uF
C229,62.2,18.8,Top,0,0603_0.1uF
C230,64.0,18.8,Top,270,0603_0.1uF
C231,65.8,18.8,Top,90,0603_0.1uF
C232,67.6,18.8,Top,0,0603_0.1uF
C233,69.4,18.8,Top,0,0603_0.1uF
C234,71.2,18.8,Top,90,0603_0.1uF
C235,73.0,18.8,Top,0,0603_0.1uF
C236,74.8,18.8,Top,0,0603_0.1uF
C237,76.6,18.8,Top,90,0603_0.1uF
C238,78.4,18.8,Top,270,0603_0.1uF
C239,80.2,18.8,Top,0,0603_0.1uF
C240,82.0,18.8,Top,90,0603_0.1uF
C241,83.8,18.8,Top,0,0603_0.1uF
C242,85.6,18.8,Top,0,0603_0.1uF
C243,87.4,18.8,Top,270,0603_0.1uF
C244,89.2,18.8,Top,180,0603_0.1uF
C245,91.0,18.8,Top,180,0603_0.1uF
C246,92.8,18.8,Top,90,0603_0.1uF
C247,94.6,18.8,Top,180,0603_0.1uF
C248,96.4,18.8,Top,90,0603_0.1uF
C249,98.2,18.8,Top,180,0603_0.1uF
C250,10.0,21.0,Top,270,0603_0.1uF
C251,11.8,21.0,Top,90,0603_0.1uF
C252,13.6,21.0,Top,180,0603_0.1uF
C253,15.4,21.0,Top,270,0603_0.1uF
C254,17.2,21.0,Top,180,0603_0.1uF
C255,19.0,21.0,Top,0,0603_0.1uF
C256,20.8,21.0,Top,0,0603_0.1uF
C257,22.6,21.0,Top,270,0603_0.1uF
C258,24.4,21.0,Top,0,0603_0.1uF
C259,26.2,21.0,Top,0,0603_0.1uF
C260,28.0,21.0,Top,90,0603_0.1uF
C261,29.8,21.0,Top,180,0603_0.1uF
C262,31.6,21.0,Top,90,0603_0.1uF
C263,33.4,21.0,Top,180,0603_0.1uF
C264,35.2,21.0,Top,0,0603_0.1uF
C265,37.0,21.0,Top,90,0603_0.1uF
C266,38.8,21.0,Top,180,0603_0.1uF
C267,40.6,21.0,Top,180,0603_0.1uF
C268,42.4,21.0,Top,90,0603_0.1uF
C269,44.2,21.0,Top,270,0603_0.1uF
C270,46.0,21.0,Top,180,0603_0.1uF
C271,47.8,21.0,Top,0,0603_0.1uF
C272,49.6,21.0,Top,180,0603_0.1uF
C273,51.4,21.0,Top,0,0603_0.1uF
C274,53.2,21.0,Top,90,0603_0.1uF
C275,55.0,21.0,Top,180,0603_0.1uF
C276,56.8,21.0,Top,0,0603_0.1uF
C277,58.6,21.0,Top,0,0603_0.1uF
C278,60.4,21.0,Top,90,0603_0.1uF
C279,62.2,21.0,Top,180,0603_0.1uF
C280,64.0,21.0,Top,180,0603_0.1uF
C281,65.8,21.0,Top,90,0603_0.1uF
C282,67.6,21.0,Top,180,0603_0.1uF
C283,69.4,21.0,Top,90,0603_0.1uF
C284,71.2,21.0,Top,180,0603_0.1uF
C285,73.0,21.0,Top,270,0603_0.1uF
C286,74.8,21.0,Top,180,0603_0.1uF
C287,76.6,21.0,Top,0,0603_0.1uF
C288,78.4,21.0,Top,0,0603_0.1uF
C289,80.2,21.0,Top,270,0603_0.1uF
C290,82.0,21.0,Top,180,0603_0.1uF
C291,83.8,21.0,Top,0,0603_0.1uF
C292,85.6,21.0,Top,0,0603_0.1uF
C293,87.4,21.0,Top,180,0603_0.1uF
C294,89.2,21.0,Top,90,0603_0.1uF
C295,91.0,21.0,Top,180,0603_0.1uF
C296,92.8,21.0,Top,90,0603_0.1uF
C297,94.6,21.0,Top,270,0603_0.1uF
C298,96.4,21.0,Top,270,0603_0.1uF
C299,98.2,21.0,Top,0,0603_0.1uF
C300,10.0,23.2,Top,0,0603_0.1uF
C301,11.8,23.2,Top,0,0603_0.1uF
C302,13.6,23.2,Top,90,0603_0.1uF
C303,15.4,23.2,Top,0,0603_0.1uF
C304,17.2,23.2,Top,180,0603_0.1uF
C305,19.0,23.2,Top,90,0603_0.1uF
C306,20.8,23.2,Top,270,0603_0.1uF
C307,22.6,23.2,Top,90,0603_0.1uF
C308,24.4,23.2,Top,0,0603_0.1uF
C309,26.2,23.2,Top,180,0603_0.1uF
C310,28.0,23.2,Top,180,0603_0.1uF
C311,29.8,23.2,Top,0,0603_0.1uF
C312,31.6,23.2,Top,180,0603_0.1uF
C313,33.4,23.2,Top,90,0603_0.1uF
C314,35.2,23.2,Top,90,0603_0.1uF
C315,37.0,23.2,Top,0,0603_0.1uF
C316,38.8,23.2,Top,180,0603_0.1uF
C317,40.6,23.2,Top,270,0603_0.1uF
C318,42.4,23.2,Top,90,0603_0.1uF
C319,44.2,23.2,Top,90,0603_0.1uF
C320,46.0,23.2,Top,90,0603_0.1uF
C321,47.8,23.2,Top,90,0603_0.1uF
C322,49.6,23.2,Top,270,0603_0.1uF
C323,51.4,23.2,Top,0,0603_0.1uF
C324,53.2,23.2,Top,90,0603_0.1uF
C325,55.0,23.2,Top,180,0603_0.1uF
C326,56.8,23.2,Top,270,0603_0.1uF
C327,58.6,23.2,Top,90,0603_0.1uF
C328,60.4,23.2,Top,180,0603_0.1uF
C329,62.2,23.2,Top,90,0603_0.1uF
C330,64.0,23.2,Top,0,0603_0.1uF
C331,65.8,23.2,Top,270,0603_0.1uF
C332,67.6,23.2,Top,0,0603_0.1uF
C333,69.4,23.2,Top,270,0603_0.1uF
C334,71.2,23.2,Top,90,0603_0.1uF
C335,73.0,23.2,Top,90,0603_0.1uF
C336,74.8,23.2,Top,270,0603_0.1uF
C337,76.6,23.2,Top,180,0603_0.1uF
C338,78.4,23.2,Top,180,0603_0.1uF
C339,80.2,23.2,Top,90,0603_0.1uF
C340,82.0,23.2,Top,90,0603_0.1uF
C341,83.8,23.2,Top,0,0603_0.1uF
C342,85.6,23.2,Top,90,0603_0.1uF
C343,87.4,23.2,Top,270,0603_0.1uF
C344,89.2,23.2,Top,180,0603_0.1uF
C345,91.0,23.2,Top,180,0603_0.1uF
C346,92.8,23.2,Top,0,0603_0.1uF
C347,94.6,23.2,Top,180,0603_0.1uF
C348,96.4,23.2,Top,180,0603_0.1uF
C349,98.2,23.2,Top,270,0603_0.1uF
C350,10.0,25.4,Top,180,0603_0.1uF
C351,11.8,25.4,Top,0,0603_0.1uF
C352,13.6,25.4,Top,0,0603_0.1uF
C353,15.4,25.4,Top,180,0603_0.1uF
C354,17.2,25.4,Top,90,0603_0.1uF
C355,19.0,25.4,Top,180,0603_0.1uF
C356,20.8,25.4,Top,0,0603_0.1uF
C357,22.6,25.4,Top,0,0603_0.1uF
C358,24.4,25.4,Top,270,0603_0.1uF
C359,26.2,25.4,Top,180,0603_0.1uF
C360,28.0,25.4,Top,180,0603_0.1uF
C361,29.8,25.4,Top,270,0603_0.1uF
C362,31.6,25.4,Top,0,0603_0.1uF
C363,33.4,25.4,Top,270,0603_0.1uF
C364,35.2,25.4,Top,90,0603_0.1uF
C365,37.0,25.4,Top,180,0603_0.1uF
C366,38.8,25.4,Top,0,0603_0.1uF
C367,40.6,25.4,Top,270,0603_0.1uF
C368,42.4,25.4,Top,0,0603_0.1uF
C369,44.2,25.4,Top,90,0603_0.1uF
C370,46.0,25.4,Top,180,0603_0.1uF
C371,47.8,25.4,Top,270,0603_0.1uF
C372,49.6,25.4,Top,0,0603_0.1uF
C373,51.4,25.4,Top,180,0603_0.1uF
C374,53.2,25.4,Top,180,0603_0.1uF
C375,55.0,25.4,Top,0,0603_0.1uF
C376,56.8,25.4,Top,180,0603_0.1uF
C377,58.6,25.4,Top,180,0603_0.1uF
C378,60.4,25.4,Top,270,0603_0.1uF
C379,62.2,25.4,Top,180,0603_0.1uF
C380,64.0,25.4,Top,270,0603_0.1uF
C381,65.8,25.4,Top,180,0603_0.1uF
C382,67.6,25.4,Top,90,0603_0.1uF
C383,69.4,25.4,Top,90,0603_0.1uF
C384,71.2,25.4,Top,270,0603_0.1uF
C385,73.0,25.4,Top,270,0603_0.1uF
C386,74.8,25.4,Top,90,0603_0.1uF
C387,76.6,25.4,Top,180,0603_0.1uF
C388,78.4,25.4,Top,270,0603_0.1uF
C389,80.2,25.4,Top,0,0603_0.1uF
C390,82.0,25.4,Top,180,0603_0.1uF
C391,83.8,25.4,Top,180,0603_0.1uF
C392,85.6,25.4,Top,90,0603_0.1uF
C393,87.4,25.4,Top,270,0603_0.1uF
C394,89.2,25.4,Top,180,0603_0.1uF
C395,91.0,25.4,Top,270,0603_0.1uF
C396,92.8,25.4,Top,270,0603_0.1uF
C397,94.6,25.4,Top,270,0603_0.1uF
C398,96.4,25.4,Top,90,0603_0.1uF
C399,98.2,25.4,Top,270,0603_0.1uF
C400,10.0,27.6,Top,90,0603_0.1uF
C401,11.8,27.6,Top,0,0603_0.1uF
C402,13.6,27.6,Top,180,0603_0.1uF
C403,15.4,27.6,Top,180,0603_0.1uF
C404,17.2,27.6,Top,0,0603_0.1uF
C405,19.0,27.6,Top,90,0603_0.1uF
C406,20.8,27.6,Top,180,0603_0.1uF
C407,22.6,27.6,Top,90,0603_0.1uF
C408,24.4,27.6,Top,90,0603_0.1uF
C409,26.2,27.6,Top,90,0603_0.1uF
C410,28.0,27.6,Top,0,0603_0.1uF
C411,29.8,27.6,Top,0,0603_0.1uF
C412,31.6,27.6,Top,90,0603_0.1uF
C413,33.4,27.6,Top,270,0603_0.1uF
C414,35.2,27.6,Top,0,0603_0.1uF
C415,37.0,27.6,Top,270,0603_0.1uF
C416,38.8,27.6,Top,270,0603_0.1uF
C417,40.6,27.6,Top,90,0603_0.1uF
C418,42.4,27.6,Top,270,0603_0.1uF
C419,44.2,27.6,Top,270,0603_0.1uF
C420,46.0,27.6,Top,270,0603_0.1uF
C421,47.8,27.6,Top,90,0603_0.1uF
C422,49.6,27.6,Top,90,0603_0.1uF
C423,51.4,27.6,Top,0,0603_0.1uF
C424,53.2,27.6,Top,0,0603_0.1uF
C425,55.0,27.6,Top,270,0603_0.1uF
C426,56.8,27.6,Top,90,0603_0.1uF
C427,58.6,27.6,Top,90,0603_0.1uF
C428,60.4,27.6,Top,270,0603_0.1uF
C429,62.2,27.6,Top,0,0603_0.1uF
C430,64.0,27.6,Top,90,0603_0.1uF
C431,65.8,27.6,Top,0,0603_0.1uF
C432,67.6,27.6,Top,270,0603_0.1uF
C433,69.4,27.6,Top,90,0603_0.1uF
C434,71.2,27.6,Top,270,0603_0.1uF
C435,73.0,27.6,Top,180,0603_0.1uF
C436,74.8,27.6,Top,270,0603_0.1uF
C437,76.6,27.6,Top,270,0603_0.1uF
C438,78.4,27.6,Top,270,0603_0.1uF
C439,80.2,27.6,Top,90,0603_0.1uF
C440,82.0,27.6,Top,270,0603_0.1uF
C441,83.8,27.6,Top,270,0603_0.1uF
C442,85.6,27.6,Top,180,0603_0.1uF
C443,87.4,27.6,Top,90,0603_0.1uF
C444,89.2,27.6,Top,180,0603_0.1uF
C445,91.0,27.6,Top,270,0603_0.1uF
C446,92.8,27.6,Top,90,0603_0.1uF
C447,94.6,27.6,Top,180,0603_0.1uF
C448,96.4,27.6,Top,270,0603_0.1uF
C449,98.2,27.6,Top,0,0603_0.1uF
C450,10.0,29.8,Top,180,0603_0.1uF
C451,11.8,29.8,Top,90,0603_0.1uF
C452,13.6,29.8,Top,180,0603_0.1uF
C453,15.4,29.8,Top,180,0603_0.1uF
C454,17.2,29.8,Top,180,0603_0.1uF
C455,19.0,29.8,Top,0,0603_0.1uF
C456,20.8,29.8,Top,90,0603_0.1uF
C457,22.6,29.8,Top,90,0603_0.1uF
C458,24.4,29.8,Top,90,0603_0.1uF
C459,26.2,29.8,Top,270,0603_0.1uF
C460,28.0,29.8,Top,90,0603_0.1uF
C461,29.8,29.8,Top,90,0603_0.1uF
C462,31.6,29.8,Top,0,0603_0.1uF
C463,33.4,29.8,Top,270,0603_0.1uF
C464,35.2,29.8,Top,270,0603_0.1uF
C465,37.0,29.8,Top,180,0603_0.1uF
C466,38.8,29.8,Top,270,0603_0.1uF
C467,40.6,29.8,Top,270,0603_0.1uF
C468,42.4,29.8,Top,0,0603_0.1uF
C469,44.2,29.8,Top,90,0603_0.1uF
C470,46.0,29.8,Top,270,0603_0.1uF
C471,47.8,29.8,Top,270,0603_0.1uF
C472,49.6,29.8,Top,0,0603_0.1uF
C473,51.4,29.8,Top,270,0603_0.1uF
C474,53.2,29.8,Top,270,0603_0.1uF
C475,55.0,29.8,Top,0,0603_0.1uF
C476,56.8,29.8,Top,180,0603_0.1uF
C477,58.6,29.8,Top,180,0603_0.1uF
C478,60.4,29.8,Top,270,0603_0.1uF
C479,62.2,29.8,Top,270,0603_0.1uF
C480,64.0,29.8,Top,90,0603_0.1uF
C481,65.8,29.8,Top,270,0603_0.1uF
C482,67.6,29.8,Top,90,0603_0.1uF
C483,69.4,29.8,Top,180,0603_0.1uF
C484,71.2,29.8,Top,270,0603_0.1uF
C485,73.0,29.8,Top,270,0603_0.1uF
C486,74.8,29.8,Top,0,0603_0.1uF
C487,76.6,29.8,Top,270,0603_0.1uF
C488,78.4,29.8,Top,180,0603_0.1uF
C489,80.2,29.8,Top,270,0603_0.1uF
C490,82.0,29.8,Top,90,0603_0.1uF
C491,83.8,29.8,Top,270,0603_0.1uF
C492,85.6,29.8,Top,90,0603_0.1uF
C493,87.4,29.8,Top,0,0603_0.1uF
C494,89.2,29.8,Top,270,0603_0.1uF
C495,91.0,29.8,Top,0,0603_0.1uF
C496,92.8,29.8,Top,0,0603_0.1uF
C497,94.6,29.8,Top,270,0603_0.1uF
C498,96.4,29.8,Top,90,0603_0.1uF
C499,98.2,29.8,Top,270,0603_0.1uF
C500,10.0,32.0,Top,90,0603_0.1uF
C501,11.8,32.0,Top,0,0603_0.1uF
C502,13.6,32.0,Top,180,0603_0.1uF
C503,15.4,32.0,Top,270,0603_0.1uF
C504,17.2,32.0,Top,180,0603_0.1uF
C505,19.0,32.0,Top,90,0603_0.1uF
C506,20.8,32.0,Top,270,0603_0.1uF
C507,22.6,32.0,Top,180,0603_0.1uF
C508,24.4,32.0,Top,180,0603_0.1uF
C509,26.2,32.0,Top,270,0603_0.1uF
C510,28.0,32.0,Top,180,0603_0.1uF
C511,29.8,32.0,Top,270,0603_0.1uF
C512,31.6,32.0,Top,180,0603_0.1uF
C513,33.4,32.0,Top,0,0603_0.1uF
C514,35.2,32.0,Top,270,0603_0.1uF
C515,37.0,32.0,Top,0,0603_0.1uF
C516,38.8,32.0,Top,0,0603_0.1uF
C517,40.6,32.0,Top,180,0603_0.1uF
C518,42.4,32.0,Top,90,0603_0.1uF
C519,44.2,32.0,Top,0,0603_0.1uF
C520,46.0,32.0,Top,0,0603_0.1uF
C521,47.8,32.0,Top,0,0603_0.1uF
C522,49.6,32.0,Top,90,0603_0.1uF
C523,51.4,32.0,Top,90,0603_0.1uF
C524,53.2,32.0,Top,0,0603_0.1uF
C525,55.0,32.0,Top,90,0603_0.1uF
C526,56.8,32.0,Top,90,0603_0.1uF
C527,58.6,32.0,Top,90,0603_0.1uF
C528,60.4,32.0,Top,270,0603_0.1uF
C529,62.2,32.0,Top,0,0603_0.1uF
C530,64.0,32.0,Top,90,0603_0.1uF
C531,65.8,32.0,Top,270,0603_0.1uF
C532,67.6,32.0,Top,180,0603_0.1uF
C533,69.4,32.0,Top,180,0603_0.1uF
C534,71.2,32.0,Top,90,0603_0.1uF
C535,73.0,32.0,Top,0,0603_0.1uF
C536,74.8,32.0,Top,90,0603_0.1uF
C537,76.6,32.0,Top,180,0603_0.1uF
C538,78.4,32.0,Top,0,0603_0.1uF
C539,80.2,32.0,Top,0,0603_0.1uF
C540,82.0,32.0,Top,180,0603_0.1uF
C541,83.8,32.0,Top,270,0603_0.1uF
C542,85.6,32.0,Top,270,0603_0.1uF
C543,87.4,32.0,Top,90,0603_0.1uF
C544,89.2,32.0,Top,0,0603_0.1uF
C545,91.0,32.0,Top,90,0603_0.1uF
C546,92.8,32.0,Top,0,0603_0.1uF
C547,94.6,32.0,Top,180,0603_0.1uF
C548,96.4,32.0,Top,0,0603_0.1uF
C549,98.2,32.0,Top,0,0603_0.1uF
C550,10.0,34.2,Top,180,0603_0.1uF
C551,11.8,34.2,Top,270,0603_0.1uF
C552,13.6,34.2,Top,180,0603_0.1uF
